,timeID,hour,day,month,year,dayofweek
62233,114910,22,24,2,2018,7
62234,114911,09,24,2,2018,7
62235,114913,15,28,2,2018,4
62236,114914,00,17,2,2018,7
62237,114915,17,2,3,2018,6
62238,114916,05,7,3,2018,4
62239,114917,05,8,3,2018,5
62240,114918,00,9,3,2018,6
62241,114919,16,8,3,2018,5
62242,114920,22,9,3,2018,6
62243,114921,08,25,2,2018,1
62244,114922,02,12,3,2018,2
62245,114923,07,12,3,2018,2
62246,114924,19,9,3,2018,6
62247,114925,04,10,3,2018,7
62248,114927,18,13,3,2018,3
62249,114928,21,8,1,2018,2
62250,114930,18,17,3,2018,7
62251,114931,00,17,3,2018,7
62252,114934,13,8,3,2018,5
62253,114935,09,3,3,2018,7
62254,114936,00,9,1,2018,3
62255,114937,01,14,3,2018,4
62256,114938,19,19,3,2018,2
62257,114939,02,19,3,2018,2
62258,114940,07,20,3,2018,3
62259,114941,19,20,3,2018,3
62260,114942,12,18,3,2018,1
62261,114943,01,18,3,2018,1
62262,114944,13,13,3,2018,3
62263,114945,14,13,3,2018,3
62264,114946,01,22,3,2018,5
62265,114947,20,23,3,2018,6
62266,114952,09,8,1,2018,2
62267,114953,14,28,3,2018,4
62268,114954,20,9,1,2018,3
62269,114955,06,29,3,2018,5
62270,114956,22,28,3,2018,4
62271,114957,18,29,3,2018,5
62272,114958,00,29,3,2018,5
62273,114959,10,30,3,2018,6
62274,114960,06,30,3,2018,6
62275,114961,12,27,12,2017,4
62276,114962,18,27,3,2018,3
62277,114963,12,21,3,2018,4
62278,114964,02,30,3,2018,6
62279,114966,21,3,4,2018,3
62280,114967,00,1,3,2018,5
62281,114968,21,6,4,2018,6
62282,114969,10,6,4,2018,6
62283,114970,08,5,4,2018,5
62284,114971,19,7,4,2018,7
62285,114972,11,8,4,2018,1
62286,114973,09,2,4,2018,2
62287,114974,07,11,1,2018,5
62288,114975,16,8,4,2018,1
62289,114976,12,21,2,2018,4
62290,114977,20,7,4,2018,7
62291,114978,12,5,4,2018,5
62292,114979,21,7,4,2018,7
62293,114981,09,11,4,2018,4
62294,114983,12,24,12,2017,1
62295,114985,09,12,4,2018,5
62296,114986,05,25,11,2017,7
62297,114988,10,10,4,2018,3
62298,114989,01,24,3,2018,7
62299,114990,23,12,4,2018,5
62300,114991,12,14,4,2018,7
62301,114992,20,13,4,2018,6
62302,114994,18,12,4,2018,5
62303,114995,12,18,4,2018,4
62304,114996,11,10,4,2018,3
62305,114997,18,18,4,2018,4
62306,114998,16,19,4,2018,5
62307,114999,14,20,4,2018,6
62308,115000,15,24,5,2018,5
62309,115001,23,25,4,2018,4
62310,115002,23,24,5,2018,5
62311,115003,03,16,5,2018,4
62312,115004,16,8,6,2018,6
62313,115005,14,25,5,2018,6
62314,115007,08,6,6,2018,4
62315,115009,09,9,6,2018,7
62316,115010,18,10,6,2018,1
62317,115011,23,9,6,2018,7
62318,115012,21,10,6,2018,1
62319,115014,17,8,6,2018,6
62320,115015,10,6,6,2018,4
62321,115016,09,11,6,2018,2
62322,115017,14,11,6,2018,2
